T1,T2,CE-Word,IF,Word sim.,Hierarchy,Cite-Wang
140,108,0.070,0.000,0.050,0.650,627.474
142,168,0.000,0.000,0.000,0.000,0.000
142,248,0.004,0.000,0.000,0.027,692.647
142,257,0.037,0.001,0.024,0.400,1060.315
146,103,0.000,0.000,0.000,0.000,0.000
148,21,0.037,0.000,0.024,0.293,273.099
148,256,0.000,0.000,0.000,0.000,0.000
148,266,0.004,0.000,0.000,0.037,652.548
149,2,0.000,0.000,0.000,0.000,0.000
149,202,0.004,0.000,0.000,0.213,1135.080
149,234,0.004,0.001,0.000,0.917,334.416
149,250,0.000,0.000,0.000,0.000,0.000
150,97,0.004,0.000,0.000,0.853,1518.212
153,260,0.000,0.000,0.000,0.000,0.000
155,4,0.004,0.000,0.000,0.693,193.065
155,229,0.004,0.000,0.000,0.210,278.567
157,262,0.004,0.000,0.000,0.150,290.358
158,13,0.029,0.000,0.024,0.630,312.705
158,41,0.301,0.000,0.077,0.010,464.778
158,102,0.004,0.000,0.000,0.350,277.855
158,181,0.004,0.001,0.000,0.090,326.954
158,187,0.004,0.000,0.000,0.720,316.186
158,189,0.045,0.000,0.077,0.000,2803.866
158,256,0.004,0.000,0.000,0.350,998.757
158,265,0.624,0.001,0.077,0.090,355.690
159,234,0.004,0.000,0.000,0.210,232.413
160,111,0.109,0.000,0.105,0.250,1021.618
160,192,0.000,0.000,0.000,0.000,0.000
162,211,0.004,0.000,0.000,0.240,550.697
166,136,0.004,0.000,0.000,0.120,193.928
166,211,0.022,0.001,0.024,0.450,628.396
167,275,0.054,0.001,0.077,0.027,1579.101
168,6,0.480,0.000,0.077,0.010,1712.776
168,44,0.014,0.000,0.050,0.653,1390.823
168,142,0.000,0.000,0.000,0.000,0.000
169,18,0.028,0.000,0.024,0.117,647.400
169,91,0.016,0.000,0.077,0.010,968.100
169,192,0.036,0.001,0.050,0.110,813.981
170,104,0.000,0.000,0.000,0.000,0.000
172,2,0.000,0.000,0.000,0.000,0.000
172,16,0.000,0.000,0.000,0.000,0.000
172,22,0.124,0.000,0.024,0.083,3902.600
172,25,0.000,0.000,0.000,0.000,0.000
172,82,0.000,0.000,0.000,0.000,0.000
172,119,0.000,0.000,0.000,0.000,0.000
172,134,0.004,0.000,0.000,0.333,3730.413
172,217,0.004,0.001,0.000,0.400,3578.263
172,261,0.000,0.000,0.000,0.000,0.000
172,281,0.000,0.000,0.000,0.000,0.000
174,2,0.000,0.000,0.000,0.000,0.000
174,271,0.000,0.000,0.000,0.000,0.000
175,62,0.000,0.000,0.000,0.000,0.000
175,72,0.000,0.000,0.000,0.000,0.000
175,107,0.000,0.000,0.000,0.000,0.000
175,131,0.000,0.000,0.000,0.000,0.000
176,0,0.051,0.000,0.024,0.477,440.297
176,87,0.004,0.000,0.000,0.057,528.512
177,202,0.153,0.001,0.050,0.840,1201.545
179,85,0.004,0.000,0.000,1.050,533.922
181,158,0.004,0.000,0.000,0.090,406.578
182,271,0.000,0.000,0.000,0.000,0.000
186,14,0.030,0.000,0.050,0.267,1690.409
186,32,0.004,0.000,0.000,1.280,609.283
186,56,0.079,0.000,0.024,0.110,997.798
186,287,0.096,0.001,0.050,0.160,1925.235
187,127,0.087,0.000,0.077,0.317,655.432
187,158,0.004,0.000,0.000,0.720,402.833
187,256,0.004,0.001,0.000,0.997,891.270
188,75,0.066,0.000,0.024,0.400,451.736
188,210,0.073,0.000,0.050,0.117,851.691
189,97,0.004,0.000,0.077,0.010,3598.287
189,158,0.129,0.000,0.077,0.000,2454.142
189,203,0.007,0.000,0.024,0.133,2294.545
189,214,0.000,0.000,0.000,0.000,0.000
189,232,0.000,0.000,0.000,0.000,0.000
189,242,0.000,0.000,0.000,0.000,0.000
189,256,0.075,0.001,0.105,0.050,2942.579
190,271,0.000,0.000,0.000,0.000,0.000
